id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16340500,"Casa Bianca - Venice-Mestre Station, 10 sleeps",106987259,Luisa,Terraferma,Piave 1860,45.48465,12.23061,Entire home/apt,200,1,194,2024-11-10,2.06,1,146,43,IT027042C283ESBKYC
16356820,Ca’ Cirulli Biennale San Marco (IP0270422244),75368043,Gaia,Isole,Castello,45.43444,12.34662,Entire home/apt,90,3,305,2024-11-09,3.16,1,228,40,
16362139,Romantic Attic Apartment Overlooking a Gothic Church,11479309,Arrigo,Isole,Cannaregio,45.44608,12.33269,Entire home/apt,158,5,163,2024-10-14,1.72,1,229,19,IT027042C24NXZW7SI
13339026,"Art-Loft 1, SALVADORE Murano",9581751,Elisabetta,Isole,Murano,45.45465,12.35661,Entire home/apt,,2,66,2019-12-18,0.64,2,0,0,
13339865,Apt. Pisani Canal View (400m from St. Mark´s Squa,2634978,Veniceapartment-Com,Isole,San Marco,45.43281,12.33519,Entire home/apt,123,1,28,2024-10-21,0.43,133,357,13,
13343640,Ca' Meraviglia Canal View,669047,Views On Venice,Isole,Dorsoduro,45.43554,12.32527,Entire home/apt,337,1,45,2024-10-28,0.44,82,357,5,027042-LOC-09534
13371298,The Rosa's place,75923641,Rosa,Isole,Cannaregio,45.44021,12.33907,Entire home/apt,212,3,161,2024-10-31,1.62,1,349,25,027042-LOC-13623
13383345,Apartment San Girolamo Canal View,2634978,Veniceapartment-Com,Isole,Cannaregio,45.4456,12.3261,Entire home/apt,173,1,68,2024-11-03,0.68,133,344,13,IT027042B4QF4S6LFV
13384176,Surian Canal View (200m from St Mark’s Square),2634978,Veniceapartment-Com,Isole,San Marco,45.43551,12.34024,Entire home/apt,277,1,169,2024-10-10,1.66,133,327,23,IT027042C2JRZASPQS
13386499,Apt. Grand Canal Terrace Scalzi,2634978,Veniceapartment-Com,Isole,Santa Croce,45.44152,12.3241,Entire home/apt,299,1,47,2024-10-17,0.48,133,313,18,IT027042B4JEBJK73F
13392804,Venice City Centre apartment,54971403,Pietro,Isole,Castello,45.43859,12.34915,Entire home/apt,250,2,242,2024-11-03,2.37,1,179,24,IT027042B4YBDWQWEQ
13395330,"Casanova , camera in stile impero in area biennale",22974469,Federica,Isole,Castello,45.43059,12.35628,Hotel room,135,3,30,2024-10-06,0.29,9,209,2,
13402104,Grande appartamento vicino Venezia,75541719,Nicolò,Terraferma,Bissuola,45.49776,12.25293,Entire home/apt,150,2,121,2024-10-11,1.18,1,359,22,
